Network,Target
33780439.bnet,!Efg1
33780439.bnet,HDACs
33780439.bnet,!HDACs
33780439.bnet,Rim8
33780439.bnet,!Rim8
33780439.bnet,HATs
33780439.bnet,!HATs
33780439.bnet,Efg1_active
33780439.bnet,!Efg1_active
33780439.bnet,Efg1_T
33780439.bnet,!Efg1_T
35752283.bnet,Prop
35752283.bnet,!Prop
35752283.bnet,Migs
35752283.bnet,!Migs
35752283.bnet,Apos
35752283.bnet,!Apos
35752283.bnet,Pros
35752283.bnet,!Pros
35752283.bnet,Apop
35752283.bnet,!Apop
35752283.bnet,Autp
35752283.bnet,!Autp
35752283.bnet,TGFb1
35752283.bnet,!TGFb1
35752283.bnet,CyclinDp
35752283.bnet,!CyclinDp
Apoptosis Network_19422837.bnet,Apoptosis
Apoptosis Network_19422837.bnet,!Apoptosis
Apoptosis Network_19422837.bnet,IKK
Apoptosis Network_19422837.bnet,!IKK
Apoptosis Network_19422837.bnet,DNADamageEvent
Apoptosis Network_19422837.bnet,!DNADamageEvent
Apoptosis Network_19422837.bnet,Cas12
Apoptosis Network_19422837.bnet,!Cas12
Apoptosis Network_19422837.bnet,Cas7
Apoptosis Network_19422837.bnet,!Cas7
Apoptosis Network_19422837.bnet,Cas9
Apoptosis Network_19422837.bnet,!Cas9
Apoptosis Network_19422837.bnet,TRADD
Apoptosis Network_19422837.bnet,!TRADD
Apoptosis Network_19422837.bnet,NFkB
Apoptosis Network_19422837.bnet,!NFkB
Arabidopsis thaliana Cell Cycle_26340681.bnet,SCF
Arabidopsis thaliana Cell Cycle_26340681.bnet,!SCF
Arabidopsis thaliana Cell Cycle_26340681.bnet,MYB3R1_4
Arabidopsis thaliana Cell Cycle_26340681.bnet,!MYB3R1_4
Arabidopsis thaliana Cell Cycle_26340681.bnet,APC_C
Arabidopsis thaliana Cell Cycle_26340681.bnet,!APC_C
Arabidopsis thaliana Cell Cycle_26340681.bnet,KRP1
Arabidopsis thaliana Cell Cycle_26340681.bnet,!KRP1
Arabidopsis thaliana Cell Cycle_26340681.bnet,E2Fc
Arabidopsis thaliana Cell Cycle_26340681.bnet,!E2Fc
Arabidopsis thaliana Cell Cycle_26340681.bnet,E2Fe
Arabidopsis thaliana Cell Cycle_26340681.bnet,!E2Fe
Arabidopsis thaliana Cell Cycle_26340681.bnet,RBR
Arabidopsis thaliana Cell Cycle_26340681.bnet,!RBR
Arabidopsis thaliana Cell Cycle_26340681.bnet,CYCD3_1
Arabidopsis thaliana Cell Cycle_26340681.bnet,!CYCD3_1
Aurora Kinase A in Neuroblastoma_26616283.bnet,PLK1
Aurora Kinase A in Neuroblastoma_26616283.bnet,!PLK1
Aurora Kinase A in Neuroblastoma_26616283.bnet,PP2A
Aurora Kinase A in Neuroblastoma_26616283.bnet,!PP2A
Aurora Kinase A in Neuroblastoma_26616283.bnet,WEE1
Aurora Kinase A in Neuroblastoma_26616283.bnet,!WEE1
Aurora Kinase A in Neuroblastoma_26616283.bnet,CDC25B
Aurora Kinase A in Neuroblastoma_26616283.bnet,!CDC25B
Aurora Kinase A in Neuroblastoma_26616283.bnet,hCPEB
Aurora Kinase A in Neuroblastoma_26616283.bnet,!hCPEB
Aurora Kinase A in Neuroblastoma_26616283.bnet,BORA
Aurora Kinase A in Neuroblastoma_26616283.bnet,!BORA
Aurora Kinase A in Neuroblastoma_26616283.bnet,SpindleAssembly
Aurora Kinase A in Neuroblastoma_26616283.bnet,!SpindleAssembly
Aurora Kinase A in Neuroblastoma_26616283.bnet,GWL_MASTL
Aurora Kinase A in Neuroblastoma_26616283.bnet,!GWL_MASTL
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,DP
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,!DP
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,IFNgII
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,!IFNgII
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,TEL
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,!TEL
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,TNE
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,!TNE
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,Th2I_TRetortaeformis
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,!Th2I_TRetortaeformis
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,EL
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,!EL
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,DCII_Bacterium
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,!DCII_Bacterium
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,IgG
B bronchiseptica and T retortaeformis coinfection_22253585.bnet,!IgG
B cell differentiation_26751566.bnet,AID
B cell differentiation_26751566.bnet,!AID
B cell differentiation_26751566.bnet,XBP1
B cell differentiation_26751566.bnet,!XBP1
B cell differentiation_26751566.bnet,STAT3
B cell differentiation_26751566.bnet,!STAT3
B cell differentiation_26751566.bnet,NF_kB
B cell differentiation_26751566.bnet,!NF_kB
B cell differentiation_26751566.bnet,STAT5
B cell differentiation_26751566.bnet,!STAT5
B cell differentiation_26751566.bnet,IL_2R
B cell differentiation_26751566.bnet,!IL_2R
B cell differentiation_26751566.bnet,IL_21R
B cell differentiation_26751566.bnet,!IL_21R
B cell differentiation_26751566.bnet,Irf4
B cell differentiation_26751566.bnet,!Irf4
Body Segmentation in Drosophila 2013_23520449.bnet,HH_protein
Body Segmentation in Drosophila 2013_23520449.bnet,!HH_protein
Body Segmentation in Drosophila 2013_23520449.bnet,WG_protein
Body Segmentation in Drosophila 2013_23520449.bnet,!WG_protein
Body Segmentation in Drosophila 2013_23520449.bnet,PH
Body Segmentation in Drosophila 2013_23520449.bnet,!PH
Body Segmentation in Drosophila 2013_23520449.bnet,SMO
Body Segmentation in Drosophila 2013_23520449.bnet,!SMO
Body Segmentation in Drosophila 2013_23520449.bnet,en
Body Segmentation in Drosophila 2013_23520449.bnet,!en
Body Segmentation in Drosophila 2013_23520449.bnet,ci
Body Segmentation in Drosophila 2013_23520449.bnet,!ci
Body Segmentation in Drosophila 2013_23520449.bnet,EN_protein
Body Segmentation in Drosophila 2013_23520449.bnet,!EN_protein
Body Segmentation in Drosophila 2013_23520449.bnet,CIA
Body Segmentation in Drosophila 2013_23520449.bnet,!CIA
Budding Yeast Cell Cycle 2009_19185585.bnet,SFF
Budding Yeast Cell Cycle 2009_19185585.bnet,!SFF
Budding Yeast Cell Cycle 2009_19185585.bnet,M
Budding Yeast Cell Cycle 2009_19185585.bnet,!M
Budding Yeast Cell Cycle 2009_19185585.bnet,Swi5
Budding Yeast Cell Cycle 2009_19185585.bnet,!Swi5
Budding Yeast Cell Cycle 2009_19185585.bnet,S
Budding Yeast Cell Cycle 2009_19185585.bnet,!S
Budding Yeast Cell Cycle 2009_19185585.bnet,Clb5
Budding Yeast Cell Cycle 2009_19185585.bnet,!Clb5
Budding Yeast Cell Cycle 2009_19185585.bnet,SMBF
Budding Yeast Cell Cycle 2009_19185585.bnet,!SMBF
Budding Yeast Cell Cycle 2009_19185585.bnet,B
Budding Yeast Cell Cycle 2009_19185585.bnet,!B
Budding Yeast Cell Cycle 2009_19185585.bnet,Yhp1
Budding Yeast Cell Cycle 2009_19185585.bnet,!Yhp1
Budding Yeast Cell Cycle_23049686.bnet,Swi5
Budding Yeast Cell Cycle_23049686.bnet,!Swi5
Budding Yeast Cell Cycle_23049686.bnet,SMBF
Budding Yeast Cell Cycle_23049686.bnet,!SMBF
Budding Yeast Cell Cycle_23049686.bnet,Cln3
Budding Yeast Cell Cycle_23049686.bnet,!Cln3
Budding Yeast Cell Cycle_23049686.bnet,Yhp1
Budding Yeast Cell Cycle_23049686.bnet,!Yhp1
Budding Yeast Cell Cycle_23049686.bnet,Cdc14
Budding Yeast Cell Cycle_23049686.bnet,!Cdc14
Budding Yeast Cell Cycle_23049686.bnet,FEAR
Budding Yeast Cell Cycle_23049686.bnet,!FEAR
Budding Yeast Cell Cycle_23049686.bnet,Clb2
Budding Yeast Cell Cycle_23049686.bnet,!Clb2
Budding Yeast Cell Cycle_23049686.bnet,Cln2
Budding Yeast Cell Cycle_23049686.bnet,!Cln2
CD4 T cell signaling_25538703.bnet,ERM
CD4 T cell signaling_25538703.bnet,!ERM
CD4 T cell signaling_25538703.bnet,Cofilin
CD4 T cell signaling_25538703.bnet,!Cofilin
CD4 T cell signaling_25538703.bnet,MLC
CD4 T cell signaling_25538703.bnet,!MLC
CD4 T cell signaling_25538703.bnet,GFI1
CD4 T cell signaling_25538703.bnet,!GFI1
CD4 T cell signaling_25538703.bnet,IL17
CD4 T cell signaling_25538703.bnet,!IL17
CD4 T cell signaling_25538703.bnet,IL22
CD4 T cell signaling_25538703.bnet,!IL22
CD4 T cell signaling_25538703.bnet,F_Actin
CD4 T cell signaling_25538703.bnet,!F_Actin
CD4 T cell signaling_25538703.bnet,Galpha_iR
CD4 T cell signaling_25538703.bnet,!Galpha_iR
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,RORGT
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,!RORGT
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,BCL6
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,!BCL6
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,TBET
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,!TBET
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,IL21
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,!IL21
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,IL9
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,!IL9
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,IL4
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,!IL4
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,GATA3
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,!GATA3
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,FOXP3
CD4+ T Cell Differentiation and Plasticity_26090929.bnet,!FOXP3
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,YOX1
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,!YOX1
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,SBF
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,!SBF
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,SFF
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,!SFF
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,HCM1
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,!HCM1
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,YHP1
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,!YHP1
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,CLN3
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,!CLN3
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,MBF
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,!MBF
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,ACE2
Cell Cycle Transcription by Coupled CDK and Network Oscillators_18463633.bnet,!ACE2
Cholesterol Regulatory Pathway_19025648.bnet,Cyp51
Cholesterol Regulatory Pathway_19025648.bnet,!Cyp51
Cholesterol Regulatory Pathway_19025648.bnet,HMG_CoA_Synthase_gene
Cholesterol Regulatory Pathway_19025648.bnet,!HMG_CoA_Synthase_gene
Cholesterol Regulatory Pathway_19025648.bnet,FPP_Synthase
Cholesterol Regulatory Pathway_19025648.bnet,!FPP_Synthase
Cholesterol Regulatory Pathway_19025648.bnet,SREBP_SCAP
Cholesterol Regulatory Pathway_19025648.bnet,!SREBP_SCAP
Cholesterol Regulatory Pathway_19025648.bnet,Acetyl_CoA_acetyltransferase
Cholesterol Regulatory Pathway_19025648.bnet,!Acetyl_CoA_acetyltransferase
Cholesterol Regulatory Pathway_19025648.bnet,FPP_Synthase_gene
Cholesterol Regulatory Pathway_19025648.bnet,!FPP_Synthase_gene
Cholesterol Regulatory Pathway_19025648.bnet,Mevalonyl_pyrophosphate
Cholesterol Regulatory Pathway_19025648.bnet,!Mevalonyl_pyrophosphate
Cholesterol Regulatory Pathway_19025648.bnet,HMG_CoA
Cholesterol Regulatory Pathway_19025648.bnet,!HMG_CoA
Colitis-associated colon cancer_26446703.bnet,Apoptosis
Colitis-associated colon cancer_26446703.bnet,!Apoptosis
Colitis-associated colon cancer_26446703.bnet,Proliferation
Colitis-associated colon cancer_26446703.bnet,!Proliferation
Colitis-associated colon cancer_26446703.bnet,MAC
Colitis-associated colon cancer_26446703.bnet,!MAC
Colitis-associated colon cancer_26446703.bnet,JUN
Colitis-associated colon cancer_26446703.bnet,!JUN
Colitis-associated colon cancer_26446703.bnet,BCL2
Colitis-associated colon cancer_26446703.bnet,!BCL2
Colitis-associated colon cancer_26446703.bnet,ATM
Colitis-associated colon cancer_26446703.bnet,!ATM
Colitis-associated colon cancer_26446703.bnet,SOCS
Colitis-associated colon cancer_26446703.bnet,!SOCS
Colitis-associated colon cancer_26446703.bnet,PI3K
Colitis-associated colon cancer_26446703.bnet,!PI3K
Cortical Area Development_20862356.bnet,Pax6
Cortical Area Development_20862356.bnet,!Pax6
Cortical Area Development_20862356.bnet,Sp8
Cortical Area Development_20862356.bnet,!Sp8
Cortical Area Development_20862356.bnet,Fgf8
Cortical Area Development_20862356.bnet,!Fgf8
Cortical Area Development_20862356.bnet,Emx2
Cortical Area Development_20862356.bnet,!Emx2
Cortical Area Development_20862356.bnet,Coup_fti
Cortical Area Development_20862356.bnet,!Coup_fti
Death Receptor Signaling_20221256.bnet,survival
Death Receptor Signaling_20221256.bnet,!survival
Death Receptor Signaling_20221256.bnet,NonACD
Death Receptor Signaling_20221256.bnet,!NonACD
Death Receptor Signaling_20221256.bnet,apoptosis
Death Receptor Signaling_20221256.bnet,!apoptosis
Death Receptor Signaling_20221256.bnet,CASP8
Death Receptor Signaling_20221256.bnet,!CASP8
Death Receptor Signaling_20221256.bnet,TNFR
Death Receptor Signaling_20221256.bnet,!TNFR
Death Receptor Signaling_20221256.bnet,NFkB
Death Receptor Signaling_20221256.bnet,!NFkB
Death Receptor Signaling_20221256.bnet,IKK
Death Receptor Signaling_20221256.bnet,!IKK
Death Receptor Signaling_20221256.bnet,MOMP
Death Receptor Signaling_20221256.bnet,!MOMP
EGFR & ErbB Signaling_19662154.bnet,creb
EGFR & ErbB Signaling_19662154.bnet,!creb
EGFR & ErbB Signaling_19662154.bnet,stat5
EGFR & ErbB Signaling_19662154.bnet,!stat5
EGFR & ErbB Signaling_19662154.bnet,stat1
EGFR & ErbB Signaling_19662154.bnet,!stat1
EGFR & ErbB Signaling_19662154.bnet,actinreorg
EGFR & ErbB Signaling_19662154.bnet,!actinreorg
EGFR & ErbB Signaling_19662154.bnet,pro_apoptotic
EGFR & ErbB Signaling_19662154.bnet,!pro_apoptotic
EGFR & ErbB Signaling_19662154.bnet,ap1
EGFR & ErbB Signaling_19662154.bnet,!ap1
EGFR & ErbB Signaling_19662154.bnet,cmyc
EGFR & ErbB Signaling_19662154.bnet,!cmyc
EGFR & ErbB Signaling_19662154.bnet,elk1
EGFR & ErbB Signaling_19662154.bnet,!elk1
FA BRCA pathway_22267503.bnet,DSB
FA BRCA pathway_22267503.bnet,!DSB
FA BRCA pathway_22267503.bnet,MUS81
FA BRCA pathway_22267503.bnet,!MUS81
FA BRCA pathway_22267503.bnet,ADD
FA BRCA pathway_22267503.bnet,!ADD
FA BRCA pathway_22267503.bnet,FAN1
FA BRCA pathway_22267503.bnet,!FAN1
FA BRCA pathway_22267503.bnet,PCNATLS
FA BRCA pathway_22267503.bnet,!PCNATLS
FA BRCA pathway_22267503.bnet,FAcore
FA BRCA pathway_22267503.bnet,!FAcore
FA BRCA pathway_22267503.bnet,RAD51
FA BRCA pathway_22267503.bnet,!RAD51
FA BRCA pathway_22267503.bnet,KU
FA BRCA pathway_22267503.bnet,!KU
Fanconi anemia and checkpoint recovery_26385365.bnet,FAHRR
Fanconi anemia and checkpoint recovery_26385365.bnet,!FAHRR
Fanconi anemia and checkpoint recovery_26385365.bnet,NUC1
Fanconi anemia and checkpoint recovery_26385365.bnet,!NUC1
Fanconi anemia and checkpoint recovery_26385365.bnet,TLS
Fanconi anemia and checkpoint recovery_26385365.bnet,!TLS
Fanconi anemia and checkpoint recovery_26385365.bnet,CHKREC
Fanconi anemia and checkpoint recovery_26385365.bnet,!CHKREC
Fanconi anemia and checkpoint recovery_26385365.bnet,ADD
Fanconi anemia and checkpoint recovery_26385365.bnet,!ADD
Fanconi anemia and checkpoint recovery_26385365.bnet,NHEJ
Fanconi anemia and checkpoint recovery_26385365.bnet,!NHEJ
Fanconi anemia and checkpoint recovery_26385365.bnet,FAcore
Fanconi anemia and checkpoint recovery_26385365.bnet,!FAcore
Fanconi anemia and checkpoint recovery_26385365.bnet,NUC2
Fanconi anemia and checkpoint recovery_26385365.bnet,!NUC2
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,Gap
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,!Gap
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,Targets
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,!Targets
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,Stumps
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,!Stumps
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,Htl
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,!Htl
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,Dsor1
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,!Dsor1
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,Raf
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,!Raf
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,Btl
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,!Btl
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,Sos
FGF pathway of Drosophila Signaling Pathways_23868318.bnet,!Sos
fMRI - Regulation of the Lac Operon_25790483.bnet,lac_repressor
fMRI - Regulation of the Lac Operon_25790483.bnet,!lac_repressor
fMRI - Regulation of the Lac Operon_25790483.bnet,allolactose
fMRI - Regulation of the Lac Operon_25790483.bnet,!allolactose
fMRI - Regulation of the Lac Operon_25790483.bnet,lactose_breakdown
fMRI - Regulation of the Lac Operon_25790483.bnet,!lactose_breakdown
fMRI - Regulation of the Lac Operon_25790483.bnet,cAMP
fMRI - Regulation of the Lac Operon_25790483.bnet,!cAMP
fMRI - Regulation of the Lac Operon_25790483.bnet,lac_enzymes
fMRI - Regulation of the Lac Operon_25790483.bnet,!lac_enzymes
fMRI - Regulation of the Lac Operon_25790483.bnet,lac_operon
fMRI - Regulation of the Lac Operon_25790483.bnet,!lac_operon
fMRI - Regulation of the Lac Operon_25790483.bnet,CAP
fMRI - Regulation of the Lac Operon_25790483.bnet,!CAP
fMRI - Regulation of the Lac Operon_25790483.bnet,lac_mRNA
fMRI - Regulation of the Lac Operon_25790483.bnet,!lac_mRNA
Glucose Repression Signaling 2009_19144179.bnet,MEL1
Glucose Repression Signaling 2009_19144179.bnet,!MEL1
Glucose Repression Signaling 2009_19144179.bnet,HXT4
Glucose Repression Signaling 2009_19144179.bnet,!HXT4
Glucose Repression Signaling 2009_19144179.bnet,SFC1
Glucose Repression Signaling 2009_19144179.bnet,!SFC1
Glucose Repression Signaling 2009_19144179.bnet,HXT5
Glucose Repression Signaling 2009_19144179.bnet,!HXT5
Glucose Repression Signaling 2009_19144179.bnet,FBP1
Glucose Repression Signaling 2009_19144179.bnet,!FBP1
Glucose Repression Signaling 2009_19144179.bnet,HXT2
Glucose Repression Signaling 2009_19144179.bnet,!HXT2
Glucose Repression Signaling 2009_19144179.bnet,MDH2
Glucose Repression Signaling 2009_19144179.bnet,!MDH2
Glucose Repression Signaling 2009_19144179.bnet,HXT3
Glucose Repression Signaling 2009_19144179.bnet,!HXT3
Guard Cell Abscisic Acid Signaling_16968132.bnet,Closure
Guard Cell Abscisic Acid Signaling_16968132.bnet,!Closure
Guard Cell Abscisic Acid Signaling_16968132.bnet,ROP10
Guard Cell Abscisic Acid Signaling_16968132.bnet,!ROP10
Guard Cell Abscisic Acid Signaling_16968132.bnet,Actin
Guard Cell Abscisic Acid Signaling_16968132.bnet,!Actin
Guard Cell Abscisic Acid Signaling_16968132.bnet,PLD
Guard Cell Abscisic Acid Signaling_16968132.bnet,!PLD
Guard Cell Abscisic Acid Signaling_16968132.bnet,NOS
Guard Cell Abscisic Acid Signaling_16968132.bnet,!NOS
Guard Cell Abscisic Acid Signaling_16968132.bnet,SphK
Guard Cell Abscisic Acid Signaling_16968132.bnet,!SphK
Guard Cell Abscisic Acid Signaling_16968132.bnet,Ca2_ATPase
Guard Cell Abscisic Acid Signaling_16968132.bnet,!Ca2_ATPase
Guard Cell Abscisic Acid Signaling_16968132.bnet,HTPase
Guard Cell Abscisic Acid Signaling_16968132.bnet,!HTPase
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,RB
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,!RB
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,AKT
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,!AKT
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,ERBB3
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,!ERBB3
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,ERBB2
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,!ERBB2
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,FOXO1_3a
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,!FOXO1_3a
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,p38
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,!p38
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,ERK1_2
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,!ERK1_2
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,p53
HCC1954 Breast Cell Line Long-term ErbB Network_24970389.bnet,!p53
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,AKT
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,!AKT
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,ERBB3
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,!ERBB3
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,ERK1_2
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,!ERK1_2
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,mTOR
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,!mTOR
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,ERBB2
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,!ERBB2
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,PKCa
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,!PKCa
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,ERBB1
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,!ERBB1
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,MEK1_2
HCC1954 Breast Cell Line Short-term ErbB Network_24970389.bnet,!MEK1_2
HGF Signaling in Keratinocytes_22962472.bnet,CREB
HGF Signaling in Keratinocytes_22962472.bnet,!CREB
HGF Signaling in Keratinocytes_22962472.bnet,cMYC
HGF Signaling in Keratinocytes_22962472.bnet,!cMYC
HGF Signaling in Keratinocytes_22962472.bnet,CellMigration
HGF Signaling in Keratinocytes_22962472.bnet,!CellMigration
HGF Signaling in Keratinocytes_22962472.bnet,Proliferation
HGF Signaling in Keratinocytes_22962472.bnet,!Proliferation
HGF Signaling in Keratinocytes_22962472.bnet,EGR1
HGF Signaling in Keratinocytes_22962472.bnet,!EGR1
HGF Signaling in Keratinocytes_22962472.bnet,MMP1_10
HGF Signaling in Keratinocytes_22962472.bnet,!MMP1_10
HGF Signaling in Keratinocytes_22962472.bnet,cFOS
HGF Signaling in Keratinocytes_22962472.bnet,!cFOS
HGF Signaling in Keratinocytes_22962472.bnet,Cdc42_Rac1
HGF Signaling in Keratinocytes_22962472.bnet,!Cdc42_Rac1
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,Targets
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,!Targets
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,Fu
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,!Fu
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,Ci_rep
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,!Ci_rep
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,Ci_act
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,!Ci_act
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,Ptc
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,!Ptc
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,Cos
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,!Cos
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,Dally
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,!Dally
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,Dlp
HH Pathway of Drosophila Signaling Pathways_23868318.bnet,!Dlp
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,Ccblp
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,!Ccblp
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,WASP
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,!WASP
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,PTK2
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,!PTK2
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,ROCK
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,!ROCK
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,API
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,!API
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,in
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,!in
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,CTNNB1_bcat
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,!CTNNB1_bcat
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,PPP2R4_PP2A
HIV-1 interactions with T-Cell Signaling Pathway_25431332.bnet,!PPP2R4_PP2A
Human Gonadal Sex Determination_26573569.bnet,DHH
Human Gonadal Sex Determination_26573569.bnet,!DHH
Human Gonadal Sex Determination_26573569.bnet,WNT4
Human Gonadal Sex Determination_26573569.bnet,!WNT4
Human Gonadal Sex Determination_26573569.bnet,SRY
Human Gonadal Sex Determination_26573569.bnet,!SRY
Human Gonadal Sex Determination_26573569.bnet,CTNNB1
Human Gonadal Sex Determination_26573569.bnet,!CTNNB1
Human Gonadal Sex Determination_26573569.bnet,GATA4
Human Gonadal Sex Determination_26573569.bnet,!GATA4
Human Gonadal Sex Determination_26573569.bnet,UGR
Human Gonadal Sex Determination_26573569.bnet,!UGR
Human Gonadal Sex Determination_26573569.bnet,FGF9
